
           ####      G N O M             Version 5.0 (r10552)      ####
                                               Fri Apr  3 10:15:19 2020

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        88.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:    4636819557908547294
    Points in real space:                   171

    Input  1:                      tmpcS28ND.dat
    First data point used:                    1
    Last data point used:                   217
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.928   1.233   0.008   0.972   1.000   0.937   0.493
               --------------------------------------------------------
    Estimate      0.561   0.952   0.995   1.000   1.000   0.989   0.509

    Angular range:                       0.0107 to       0.2989
    Reciprocal space Rg:             0.2828E+02
    Reciprocal space I(0):           0.1348E-01

    Real space range:                    0.0000 to      88.0000
    Real space Rg:                   0.2827E+02 +-   0.1398E+00
    Real space I(0):                 0.1348E-01 +-   0.6839E-04

    Highest ALPHA (theor):           0.3560E+04
    Current ALPHA:                   0.1012E+02

    Total Estimate:                      0.9154 (a EXCELLENT solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG
   0.250994E+00   0.244744E-04   0.574666E-04   0.601019E-04   0.601019E-04
   0.252327E+00   0.199664E-04   0.237794E-04   0.595911E-04   0.595911E-04
   0.253659E+00   0.546686E-04   0.336159E-03   0.590937E-04   0.590937E-04
   0.254991E+00   0.872485E-04   0.241709E-04   0.586075E-04   0.586075E-04
   0.256323E+00   0.638550E-04   0.310357E-04   0.581308E-04   0.581308E-04
   0.257655E+00   0.224169E-04   0.319381E-04   0.576618E-04   0.576618E-04
   0.258987E+00   0.873638E-04   0.254609E-04   0.571991E-04   0.571991E-04
   0.260318E+00   0.143748E-03   0.377609E-04   0.567415E-04   0.567415E-04
   0.261650E+00   0.233736E-04   0.201501E-03   0.562878E-04   0.562878E-04
   0.262982E+00   0.394115E-04   0.243758E-04   0.558373E-04   0.558373E-04
   0.264314E+00   0.530249E-04   0.281906E-04   0.553889E-04   0.553889E-04
   0.265645E+00   0.629863E-04   0.118169E-03   0.549430E-04   0.549430E-04
   0.266977E+00   0.969782E-04   0.129425E-03   0.544985E-04   0.544985E-04
   0.268309E+00   0.533290E-04   0.438964E-04   0.540553E-04   0.540553E-04
   0.269640E+00   0.607344E-04   0.270434E-04   0.536136E-04   0.536136E-04
   0.270972E+00   0.612265E-04   0.685090E-04   0.531735E-04   0.531735E-04
   0.272303E+00   0.471537E-04   0.308595E-04   0.527351E-04   0.527351E-04
   0.273635E+00   0.146740E-04   0.475092E-04   0.522989E-04   0.522989E-04
   0.274966E+00   0.874533E-04   0.508373E-03   0.518652E-04   0.518652E-04
   0.276297E+00   0.304295E-04   0.350573E-04   0.514346E-04   0.514346E-04
   0.277628E+00   0.281838E-04   0.306214E-04   0.510077E-04   0.510077E-04
   0.278960E+00   0.525379E-04   0.249793E-04   0.505850E-04   0.505850E-04
   0.280291E+00   0.404839E-05   0.252558E-04   0.501672E-04   0.501672E-04
   0.281622E+00   0.417050E-04   0.238986E-04   0.497549E-04   0.497549E-04
   0.282953E+00   0.345031E-04   0.255236E-04   0.493488E-04   0.493488E-04
   0.284284E+00   0.198328E-04   0.150290E-03   0.489494E-04   0.489494E-04
   0.285615E+00   0.605266E-04   0.315016E-04   0.485575E-04   0.485575E-04
   0.286946E+00   0.328282E-04   0.255269E-04   0.481733E-04   0.481733E-04
   0.288276E+00   0.430610E-04   0.241453E-04   0.477975E-04   0.477975E-04
   0.289607E+00   0.720237E-04   0.225083E-04   0.474307E-04   0.474307E-04
   0.290938E+00   0.907761E-04   0.136666E-03   0.470724E-04   0.470724E-04
   0.292268E+00   0.765051E-04   0.285741E-04   0.467236E-04   0.467236E-04
   0.293599E+00   0.926630E-04   0.281700E-04   0.463843E-04   0.463843E-04
   0.294930E+00   0.728578E-04   0.469915E-03   0.460543E-04   0.460543E-04
   0.296260E+00   0.256831E-04   0.520995E-04   0.457340E-04   0.457340E-04
   0.297591E+00   0.700347E-04   0.360322E-04   0.454228E-04   0.454228E-04
   0.298921E+00   0.510456E-04   0.273468E-04   0.451206E-04   0.451206E-04

           ####      Real Space Data                               ####

           Distance distribution  function of particle  


      R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.5176E+00  0.1851E-06  0.2166E-07
  0.1035E+01  0.3946E-06  0.3924E-07
  0.1553E+01  0.6284E-06  0.5285E-07
  0.2071E+01  0.8864E-06  0.6264E-07
  0.2588E+01  0.1168E-05  0.6882E-07
  0.3106E+01  0.1474E-05  0.7166E-07
  0.3624E+01  0.1803E-05  0.7149E-07
  0.4141E+01  0.2154E-05  0.6872E-07
  0.4659E+01  0.2527E-05  0.6385E-07
  0.5176E+01  0.2922E-05  0.5752E-07
  0.5694E+01  0.3338E-05  0.5062E-07
  0.6212E+01  0.3774E-05  0.4440E-07
  0.6729E+01  0.4229E-05  0.4061E-07
  0.7247E+01  0.4702E-05  0.4090E-07
  0.7765E+01  0.5192E-05  0.4564E-07
  0.8282E+01  0.5699E-05  0.5362E-07
  0.8800E+01  0.6221E-05  0.6330E-07
  0.9318E+01  0.6756E-05  0.7351E-07
  0.9835E+01  0.7304E-05  0.8344E-07
  0.1035E+02  0.7864E-05  0.9257E-07
  0.1087E+02  0.8433E-05  0.1005E-06
  0.1139E+02  0.9011E-05  0.1070E-06
  0.1191E+02  0.9595E-05  0.1119E-06
  0.1242E+02  0.1019E-04  0.1150E-06
  0.1294E+02  0.1078E-04  0.1164E-06
  0.1346E+02  0.1138E-04  0.1161E-06
  0.1398E+02  0.1198E-04  0.1143E-06
  0.1449E+02  0.1257E-04  0.1111E-06
  0.1501E+02  0.1317E-04  0.1067E-06
  0.1553E+02  0.1376E-04  0.1016E-06
  0.1605E+02  0.1435E-04  0.9625E-07
  0.1656E+02  0.1493E-04  0.9113E-07
  0.1708E+02  0.1550E-04  0.8689E-07
  0.1760E+02  0.1607E-04  0.8415E-07
  0.1812E+02  0.1662E-04  0.8340E-07
  0.1864E+02  0.1717E-04  0.8487E-07
  0.1915E+02  0.1770E-04  0.8844E-07
  0.1967E+02  0.1821E-04  0.9371E-07
  0.2019E+02  0.1872E-04  0.1001E-06
  0.2071E+02  0.1920E-04  0.1071E-06
  0.2122E+02  0.1968E-04  0.1142E-06
  0.2174E+02  0.2013E-04  0.1209E-06
  0.2226E+02  0.2057E-04  0.1269E-06
  0.2278E+02  0.2099E-04  0.1320E-06
  0.2329E+02  0.2139E-04  0.1361E-06
  0.2381E+02  0.2177E-04  0.1389E-06
  0.2433E+02  0.2214E-04  0.1406E-06
  0.2485E+02  0.2248E-04  0.1412E-06
  0.2536E+02  0.2281E-04  0.1408E-06
  0.2588E+02  0.2312E-04  0.1394E-06
  0.2640E+02  0.2340E-04  0.1375E-06
  0.2692E+02  0.2367E-04  0.1352E-06
  0.2744E+02  0.2392E-04  0.1327E-06
  0.2795E+02  0.2416E-04  0.1305E-06
  0.2847E+02  0.2437E-04  0.1289E-06
  0.2899E+02  0.2457E-04  0.1280E-06
  0.2951E+02  0.2474E-04  0.1282E-06
  0.3002E+02  0.2490E-04  0.1294E-06
  0.3054E+02  0.2504E-04  0.1316E-06
  0.3106E+02  0.2516E-04  0.1347E-06
  0.3158E+02  0.2527E-04  0.1386E-06
  0.3209E+02  0.2536E-04  0.1429E-06
  0.3261E+02  0.2543E-04  0.1475E-06
  0.3313E+02  0.2548E-04  0.1520E-06
  0.3365E+02  0.2551E-04  0.1563E-06
  0.3416E+02  0.2553E-04  0.1601E-06
  0.3468E+02  0.2553E-04  0.1635E-06
  0.3520E+02  0.2551E-04  0.1662E-06
  0.3572E+02  0.2548E-04  0.1684E-06
  0.3624E+02  0.2543E-04  0.1699E-06
  0.3675E+02  0.2536E-04  0.1709E-06
  0.3727E+02  0.2527E-04  0.1715E-06
  0.3779E+02  0.2516E-04  0.1717E-06
  0.3831E+02  0.2504E-04  0.1719E-06
  0.3882E+02  0.2489E-04  0.1720E-06
  0.3934E+02  0.2473E-04  0.1722E-06
  0.3986E+02  0.2455E-04  0.1727E-06
  0.4038E+02  0.2436E-04  0.1736E-06
  0.4089E+02  0.2414E-04  0.1749E-06
  0.4141E+02  0.2391E-04  0.1766E-06
  0.4193E+02  0.2366E-04  0.1787E-06
  0.4245E+02  0.2339E-04  0.1812E-06
  0.4296E+02  0.2310E-04  0.1839E-06
  0.4348E+02  0.2280E-04  0.1867E-06
  0.4400E+02  0.2248E-04  0.1895E-06
  0.4452E+02  0.2215E-04  0.1923E-06
  0.4504E+02  0.2180E-04  0.1948E-06
  0.4555E+02  0.2143E-04  0.1971E-06
  0.4607E+02  0.2105E-04  0.1991E-06
  0.4659E+02  0.2066E-04  0.2007E-06
  0.4711E+02  0.2026E-04  0.2021E-06
  0.4762E+02  0.1984E-04  0.2031E-06
  0.4814E+02  0.1942E-04  0.2039E-06
  0.4866E+02  0.1898E-04  0.2045E-06
  0.4918E+02  0.1854E-04  0.2050E-06
  0.4969E+02  0.1809E-04  0.2056E-06
  0.5021E+02  0.1764E-04  0.2062E-06
  0.5073E+02  0.1718E-04  0.2070E-06
  0.5125E+02  0.1671E-04  0.2079E-06
  0.5176E+02  0.1624E-04  0.2090E-06
  0.5228E+02  0.1577E-04  0.2104E-06
